impressions,clicks,spent,CTR,Avg CPC,App Install,total_conversion
7350,2,1.429999948,0.000272,0.715,0,2
17861,2,1.820000023,0.000112,0.91,0,2
693,0,0,0,0,0,0
4259,1,1.25,0.000235,1.25,0,1
4133,1,1.289999962,0.000242,1.29,0,1
1915,0,0,0,0,0,0
15615,3,4.769999981,0.000192,1.59,0,1
10951,1,1.269999981,0.000091,1.27,0,1
2355,1,1.5,0.000425,1.5,0,1
9502,3,3.159999967,0.000316,1.053,1,1
1224,0,0,0,0,0,0
735,0,0,0,0,0,0
5117,0,0,0,0,0,0
5120,0,0,0,0,0,0
14669,7,10.28000021,0.000477,1.469,1,1
1241,0,0,0,0,0,0
2305,1,0.569999993,0.000434,0.57,0,1
1024,0,0,0,0,0,0
4627,1,1.690000057,0.000216,1.69,0,1
21026,4,4.630000114,0.00019,1.158,1,2
1422,0,0,0,0,0,0
7132,2,2.609999895,0.00028,1.305,0,1
12190,2,3.049999952,0.000164,1.525,0,1
12193,2,3.059999943,0.000164,1.53,0,1
3332,0,0,0,0,0,0
559,0,0,0,0,0,0
7440,2,2.980000019,0.000269,1.49,0,1
19113,4,5.5200001,0.000209,1.38,0,1
10976,2,1.690000057,0.000182,0.845,0,1
2861,0,0,0,0,0,0
1398,0,0,0,0,0,0
23817,7,8.470000148,0.000294,1.21,1,1
47224,12,15.82000017,0.000254,1.318,1,1
2283,1,1.470000029,0.000438,1.47,0,1
2182,1,1.529999971,0.000458,1.53,0,1
2654,0,0,0,0,0,0
57665,14,18.06999969,0.000243,1.291,1,1
3091,1,1.610000014,0.000324,1.61,0,1
5014,1,1.190000057,0.000199,1.19,0,1
38726,7,9.220000267,0.000181,1.317,1,1
1473,0,0,0,0,0,0
1186,0,0,0,0,0,0
5369,1,1.50999999,0.000186,1.51,0,1
22221,7,9.430000067,0.000315,1.347,1,1
1185,0,0,0,0,0,0
13019,5,6.960000038,0.000384,1.392,0,1
2508,1,1.220000029,0.000399,1.22,0,1
5864,2,2.799999952,0.000341,1.4,0,1
2783,1,1.600000024,0.000359,1.6,0,1
3812,1,1.129999995,0.000262,1.13,0,2
11199,4,5.730000019,0.000357,1.433,0,1
292,0,0,0,0,0,0
17572,7,9.379999995,0.000398,1.34,1,1
1448,0,0,0,0,0,0
1772,0,0,0,0,0,0
13329,4,5.629999995,0.0003,1.407,1,1
13659,3,3.840000033,0.00022,1.28,1,1
739,0,0,0,0,0,0
605,0,0,0,0,0,0
1030,0,0,0,0,0,0
5374,1,1.039999962,0.000186,1.04,0,4
790,0,0,0,0,0,0
962,0,0,0,0,0,0
4423,1,1.460000038,0.000226,1.46,0,1
12382,2,2.839999914,0.000162,1.42,0,1
2938,1,1.350000024,0.00034,1.35,0,1
239,0,0,0,0,0,0
591,0,0,0,0,0,0
10332,4,5.75,0.000387,1.438,1,1
8259,3,3.980000019,0.000363,1.327,1,1
12158,3,4.449999928,0.000247,1.483,1,1
7709,2,1.320000052,0.000259,0.66,0,2
834,0,0,0,0,0,0
1299,0,0,0,0,0,0
371,0,0,0,0,0,0
10466,3,4.090000033,0.000287,1.363,1,1
839,0,0,0,0,0,0
5576,1,1.529999971,0.000179,1.53,0,1
4010,0,0,0,0,0,0
39337,7,10.03000009,0.000178,1.433,1,1
1635,0,0,0,0,0,0
1631,0,0,0,0,0,0
13479,3,4.25,0.000223,1.417,0,1
57022,13,20.29000032,0.000228,1.561,3,3
5453,1,1.389999986,0.000183,1.39,0,1
11803,3,4.440000057,0.000254,1.48,1,1
4259,1,1.570000052,0.000235,1.57,0,1
1554,0,0,0,0,0,0
5323,1,1.289999962,0.000188,1.29,0,1
5024,1,1.409999967,0.000199,1.41,0,1
104648,24,33.33000004,0.000229,1.389,10,4
8504,3,3.340000093,0.000353,1.113,0,1
20277,6,8.050000072,0.000296,1.342,1,1
12403,4,5.210000038,0.000323,1.303,1,1
498,0,0,0,0,0,0
652,0,0,0,0,0,0
1357,0,0,0,0,0,0
1393,0,0,0,0,0,0
648,0,0,0,0,0,0
708,0,0,0,0,0,0
6907,2,2.349999964,0.00029,1.175,0,1
39035,13,19.32999957,0.000333,1.487,5,1
926,0,0,0,0,0,0
4412,1,1.450000048,0.000227,1.45,0,1
9965,3,4.050000072,0.000301,1.35,0,1
73634,23,32.97999978,0.000312,1.434,9,1
69708,20,31.28999949,0.000287,1.564,9,1
530,0,0,0,0,0,0
14257,6,8.789999962,0.000421,1.465,0,1
20362,5,9.119999886,0.000246,1.824,0,1
12215,4,6.26000011,0.000327,1.565,0,1
85412,28,38.63999999,0.000328,1.38,10,2
2338,1,0.239999995,0.000428,0.24,0,1
2522,0,0,0,0,0,0
3587,0,0,0,0,0,0
1273,0,0,0,0,0,0
3891,1,1.090000033,0.000257,1.09,0,1
1888,0,0,0,0,0,0
1895,0,0,0,0,0,0
715,0,0,0,0,0,0
11199,2,2.680000067,0.000179,1.34,0,1
5676,2,3.00999999,0.000352,1.505,0,1
1415,0,0,0,0,0,0
2148,1,1.580000043,0.000466,1.58,0,1
45401,10,14.06000042,0.00022,1.406,2,1
7478,2,2.900000095,0.000267,1.45,0,1
4919,1,1.590000033,0.000203,1.59,0,1
533,0,0,0,0,0,0
1447,0,0,0,0,0,0
17553,3,4.590000153,0.000171,1.53,1,1
3343,1,0.540000021,0.000299,0.54,0,1
523,0,0,0,0,0,0
1873,0,0,0,0,0,0
34740,7,13.41000009,0.000201,1.916,1,1
658,0,0,0,0,0,0
1539,0,0,0,0,0,0
3010,1,0.860000014,0.000332,0.86,0,1
27081,9,10.77000046,0.000332,1.197,1,1
20233,4,5.590000153,0.000198,1.398,1,3
147159,36,58.16000044,0.000245,1.616,12,3
21664,7,10.61999977,0.000323,1.517,1,1
9112,4,5.460000038,0.000439,1.365,0,1
542,0,0,0,0,0,0
402,0,0,0,0,0,0
1338,0,0,0,0,0,0
46150,15,20.17999983,0.000325,1.345,2,1
493821,116,176.3799977,0.000235,1.521,12,4
92011,27,34.39000046,0.000293,1.274,3,2
12956,4,5.49000001,0.000309,1.373,0,1
529,0,0,0,0,0,0
944,1,1.419999957,0.001059,1.42,0,1
111090,38,51.97000027,0.000342,1.368,10,5
7208,2,3.190000057,0.000277,1.595,0,1
1746,0,0,0,0,0,0
2474,0,0,0,0,0,0
12489,2,1.960000038,0.00016,0.98,0,1
8032,1,0.600000024,0.000125,0.6,0,2
472,0,0,0,0,0,0
792,0,0,0,0,0,0
4607,1,1.149999976,0.000217,1.15,0,1
13355,2,3.180000067,0.00015,1.59,0,1
2936,0,0,0,0,0,0
2793,1,0.980000019,0.000358,0.98,0,1
1032,0,0,0,0,0,0
1662,0,0,0,0,0,0
4016,2,1.480000049,0.000498,0.74,0,1
14843,3,2.939999938,0.000202,0.98,1,1
9674,3,4.600000024,0.00031,1.533,1,1
12186,2,2.669999957,0.000164,1.335,0,1
673,0,0,0,0,0,0
370,0,0,0,0,0,0
450,0,0,0,0,0,0
2077,0,0,0,0,0,0
31393,8,10.96000051,0.000255,1.37,1,1
8410,2,2.359999895,0.000238,1.18,0,1
25884,5,7.350000143,0.000193,1.47,1,1
608,0,0,0,0,0,0
28488,10,9.340000033,0.000351,0.934,3,1
10126,3,4.619999886,0.000296,1.54,0,1
22572,5,8.5,0.000222,1.7,1,1
1955,0,0,0,0,0,0
493,0,0,0,0,0,0
1491,0,0,0,0,0,0
1495,0,0,0,0,0,0
512,0,0,0,0,0,0
4868,2,2.420000076,0.000411,1.21,0,1
6585,2,2.950000048,0.000304,1.475,0,1
10164,2,3.720000029,0.000197,1.86,0,1
11182,4,4.449999809,0.000358,1.112,1,1
1238,0,0,0,0,0,0
34127,8,13.07000017,0.000234,1.634,1,1
29466,7,10.84999967,0.000238,1.55,0,2
38759,9,10.84999967,0.000232,1.206,1,1
41720,10,12.06000006,0.00024,1.206,2,1
18602,5,8.860000134,0.000269,1.772,1,1
83929,21,27.72999954,0.00025,1.32,8,4
25194,6,7.349999905,0.000238,1.225,2,1
78627,19,26.53000045,0.000242,1.396,6,1
102695,25,39.42999983,0.000243,1.577,11,3
82827,24,47.93000031,0.00029,1.997,12,3
9240,3,6.039999962,0.000325,2.013,0,1
7706,2,2.369999886,0.00026,1.185,0,1
7821,4,6.340000153,0.000511,1.585,1,1
1363,0,0,0,0,0,0
3569,0,0,0,0,0,0
119063,34,53.21999949,0.000286,1.565,9,1
99078,23,35.79999948,0.000232,1.557,5,2
452398,114,180.2200012,0.000252,1.581,11,1
191223,48,76.41000056,0.000251,1.592,5,1
22216,6,9.549999952,0.00027,1.592,0,1
48291,11,18.01999998,0.000228,1.638,3,1
27559,8,13.37,0.00029,1.671,1,1
10194,4,4.590000033,0.000392,1.148,1,2
1168,0,0,0,0,0,0
40126,16,25.86000001,0.000399,1.616,4,1
3659,1,0.49000001,0.000273,0.49,0,1
3200,0,0,0,0,0,0
7550,1,1.679999948,0.000132,1.68,1,1
45397,15,25.41999936,0.00033,1.695,2,1
23086,2,3.310000062,0.000087,1.655,0,1
16425,1,1.549999952,0.000061,1.55,1,1
43756,5,5.439999938,0.000114,1.088,2,0
9982,0,0,0,0,0,0
